country,confirmed,deaths,recovered,active,date
Germany,0,0,0,0,2020-01-22T00:00:00Z
Germany,0,0,0,0,2020-01-23T00:00:00Z
Germany,0,0,0,0,2020-01-24T00:00:00Z
Germany,0,0,0,0,2020-01-25T00:00:00Z
Germany,0,0,0,0,2020-01-26T00:00:00Z
Germany,1,0,0,1,2020-01-27T00:00:00Z
Germany,4,0,0,4,2020-01-28T00:00:00Z
Germany,4,0,0,4,2020-01-29T00:00:00Z
Germany,4,0,0,4,2020-01-30T00:00:00Z
Germany,5,0,0,5,2020-01-31T00:00:00Z
Germany,8,0,0,8,2020-02-01T00:00:00Z
Germany,10,0,0,10,2020-02-02T00:00:00Z
Germany,12,0,0,12,2020-02-03T00:00:00Z
Germany,12,0,0,12,2020-02-04T00:00:00Z
Germany,12,0,0,12,2020-02-05T00:00:00Z
Germany,12,0,0,12,2020-02-06T00:00:00Z
Germany,13,0,0,13,2020-02-07T00:00:00Z
Germany,13,0,0,13,2020-02-08T00:00:00Z
Germany,14,0,0,14,2020-02-09T00:00:00Z
Germany,14,0,0,14,2020-02-10T00:00:00Z
Germany,16,0,0,16,2020-02-11T00:00:00Z
Germany,16,0,0,16,2020-02-12T00:00:00Z
Germany,16,0,1,15,2020-02-13T00:00:00Z
Germany,16,0,1,15,2020-02-14T00:00:00Z
Germany,16,0,1,15,2020-02-15T00:00:00Z
Germany,16,0,1,15,2020-02-16T00:00:00Z
Germany,16,0,1,15,2020-02-17T00:00:00Z
Germany,16,0,12,4,2020-02-18T00:00:00Z
Germany,16,0,12,4,2020-02-19T00:00:00Z
Germany,16,0,12,4,2020-02-20T00:00:00Z
Germany,16,0,14,2,2020-02-21T00:00:00Z
Germany,16,0,14,2,2020-02-22T00:00:00Z
Germany,16,0,14,2,2020-02-23T00:00:00Z
Germany,16,0,14,2,2020-02-24T00:00:00Z
Germany,16,0,14,3,2020-02-25T00:00:00Z
Germany,21,0,15,12,2020-02-26T00:00:00Z
Germany,26,0,16,30,2020-02-27T00:00:00Z
Germany,53,0,16,32,2020-02-28T00:00:00Z
Germany,66,0,16,63,2020-02-29T00:00:00Z
Germany,117,0,16,114,2020-03-01T00:00:00Z
Germany,150,0,16,143,2020-03-02T00:00:00Z
Germany,188,0,16,180,2020-03-03T00:00:00Z
Germany,240,0,16,246,2020-03-04T00:00:00Z
Germany,349,0,16,466,2020-03-05T00:00:00Z
Germany,534,0,17,653,2020-03-06T00:00:00Z
Germany,684,0,18,781,2020-03-07T00:00:00Z
Germany,847,0,18,1022,2020-03-08T00:00:00Z
Germany,1112,2,18,1156,2020-03-09T00:00:00Z
Germany,1296,2,18,1437,2020-03-10T00:00:00Z
